total_gold_earned_0, 77361
total_gold_spent_0, 69225
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 48
total_deaths_0, 44
total_damage_dealt_to_champions_0, 164281
total_damage_dealt_to_objectives_0, 57125
total_damage_taken_0, 178515
average_vision_score_0, 35
total_wards_placed_0, 80
average_creep_score_0, 160
average_champion_experience_0, 21015
dmg_carry_0, 45
obj_carry_0, 45
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Zyra
total_gold_earned_1, 78568
total_gold_spent_1, 74360
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 44
total_deaths_1, 48
total_damage_dealt_to_champions_1, 154958
total_damage_dealt_to_objectives_1, 99317
total_damage_taken_1, 194180
average_vision_score_1, 46
total_wards_placed_1, 71
average_creep_score_1, 151
average_champion_experience_1, 19016
dmg_carry_1, 360
obj_carry_1, 360
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
