total_gold_earned_0, 42027
total_gold_spent_0, 40150
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 34
total_damage_dealt_to_champions_0, 54038
total_damage_dealt_to_objectives_0, 26512
total_damage_taken_0, 95509
average_vision_score_0, 17
total_wards_placed_0, 41
average_creep_score_0, 90
average_champion_experience_0, 10035
dmg_carry_0, 91
obj_carry_0, 91
team_comp_0_champ_1, Talon
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 55075
total_gold_spent_1, 48180
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 34
total_deaths_1, 11
total_damage_dealt_to_champions_1, 72948
total_damage_dealt_to_objectives_1, 58558
total_damage_taken_1, 85609
average_vision_score_1, 19
total_wards_placed_1, 36
average_creep_score_1, 106
average_champion_experience_1, 12575
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Evelynn
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Taric
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
