total_gold_earned_0, 75850
total_gold_spent_0, 68788
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 46
total_damage_dealt_to_champions_0, 127944
total_damage_dealt_to_objectives_0, 37016
total_damage_taken_0, 185834
average_vision_score_0, 38
total_wards_placed_0, 90
average_creep_score_0, 176
average_champion_experience_0, 19018
dmg_carry_0, 22
obj_carry_0, 22
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Soraka
total_gold_earned_1, 82359
total_gold_spent_1, 76025
total_baron_kills_1, 0
total_dragon_kills_1, 6
total_inhibitor_kils_1, 4
total_kills_1, 46
total_deaths_1, 34
total_damage_dealt_to_champions_1, 156594
total_damage_dealt_to_objectives_1, 95906
total_damage_taken_1, 166136
average_vision_score_1, 39
total_wards_placed_1, 69
average_creep_score_1, 156
average_champion_experience_1, 20827
dmg_carry_1, 42
obj_carry_1, 42
team_comp_1_champ_1, Yasuo
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Brand
team_comp_1_champ_4, Corki
team_comp_1_champ_5, Swain
gameLengthMin, 42
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
