total_gold_earned_0, 39429
total_gold_spent_0, 36800
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 12
total_deaths_0, 29
total_damage_dealt_to_champions_0, 50418
total_damage_dealt_to_objectives_0, 15273
total_damage_taken_0, 85016
average_vision_score_0, 13
total_wards_placed_0, 35
average_creep_score_0, 94
average_champion_experience_0, 10443
dmg_carry_0, 99
obj_carry_0, 99
team_comp_0_champ_1, Aatrox
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Morgana
total_gold_earned_1, 55793
total_gold_spent_1, 49450
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 29
total_deaths_1, 13
total_damage_dealt_to_champions_1, 68966
total_damage_dealt_to_objectives_1, 58483
total_damage_taken_1, 89638
average_vision_score_1, 25
total_wards_placed_1, 48
average_creep_score_1, 115
average_champion_experience_1, 12600
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, Kled
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Kassadin
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
