total_gold_earned_0, 51104
total_gold_spent_0, 49880
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 13
total_deaths_0, 44
total_damage_dealt_to_champions_0, 78247
total_damage_dealt_to_objectives_0, 20899
total_damage_taken_0, 133860
average_vision_score_0, 21
total_wards_placed_0, 54
average_creep_score_0, 124
average_champion_experience_0, 12930
dmg_carry_0, 63
obj_carry_0, 63
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Karthus
team_comp_0_champ_4, Nilah
team_comp_0_champ_5, Brand
total_gold_earned_1, 66207
total_gold_spent_1, 55075
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 43
total_deaths_1, 13
total_damage_dealt_to_champions_1, 107612
total_damage_dealt_to_objectives_1, 84028
total_damage_taken_1, 109108
average_vision_score_1, 29
total_wards_placed_1, 43
average_creep_score_1, 136
average_champion_experience_1, 16255
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Yone
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Pantheon
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
