total_gold_earned_0, 51892
total_gold_spent_0, 43585
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 2
total_kills_0, 32
total_deaths_0, 23
total_damage_dealt_to_champions_0, 51493
total_damage_dealt_to_objectives_0, 62493
total_damage_taken_0, 67147
average_vision_score_0, 23
total_wards_placed_0, 47
average_creep_score_0, 98
average_champion_experience_0, 10755
dmg_carry_0, 22
obj_carry_0, 22
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Corki
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Leona
total_gold_earned_1, 42496
total_gold_spent_1, 40625
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 32
total_damage_dealt_to_champions_1, 47259
total_damage_dealt_to_objectives_1, 33969
total_damage_taken_1, 70269
average_vision_score_1, 13
total_wards_placed_1, 30
average_creep_score_1, 83
average_champion_experience_1, 8870
dmg_carry_1, 80
obj_carry_1, 80
team_comp_1_champ_1, Pantheon
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Riven
team_comp_1_champ_4, Senna
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
