total_gold_earned_0, 59474
total_gold_spent_0, 56055
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 4
total_kills_0, 33
total_deaths_0, 18
total_damage_dealt_to_champions_0, 86018
total_damage_dealt_to_objectives_0, 76960
total_damage_taken_0, 99625
average_vision_score_0, 25
total_wards_placed_0, 53
average_creep_score_0, 106
average_champion_experience_0, 13705
dmg_carry_0, 3
obj_carry_0, 3
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Galio
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 48939
total_gold_spent_1, 47025
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 34
total_damage_dealt_to_champions_1, 56291
total_damage_dealt_to_objectives_1, 18192
total_damage_taken_1, 114332
average_vision_score_1, 16
total_wards_placed_1, 42
average_creep_score_1, 124
average_champion_experience_1, 12587
dmg_carry_1, 83
obj_carry_1, 83
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Teemo
team_comp_1_champ_3, Irelia
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Leona
gameLengthMin, 29
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
