total_gold_earned_0, 69726
total_gold_spent_0, 62750
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 54
total_deaths_0, 32
total_damage_dealt_to_champions_0, 134000
total_damage_dealt_to_objectives_0, 75060
total_damage_taken_0, 125634
average_vision_score_0, 29
total_wards_placed_0, 59
average_creep_score_0, 115
average_champion_experience_0, 16192
dmg_carry_0, 18
obj_carry_0, 18
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Zyra
total_gold_earned_1, 58673
total_gold_spent_1, 57050
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 32
total_deaths_1, 54
total_damage_dealt_to_champions_1, 97005
total_damage_dealt_to_objectives_1, 44509
total_damage_taken_1, 156983
average_vision_score_1, 29
total_wards_placed_1, 63
average_creep_score_1, 102
average_champion_experience_1, 13447
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
