total_gold_earned_0, 19712
total_gold_spent_0, 10200
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 5
total_deaths_0, 0
total_damage_dealt_to_champions_0, 15178
total_damage_dealt_to_objectives_0, 12346
total_damage_taken_0, 19459
average_vision_score_0, 5
total_wards_placed_0, 17
average_creep_score_0, 51
average_champion_experience_0, 4518
dmg_carry_0, 202
obj_carry_0, 202
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Gnar
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Zyra
total_gold_earned_1, 13485
total_gold_spent_1, 7325
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 0
total_deaths_1, 5
total_damage_dealt_to_champions_1, 8279
total_damage_dealt_to_objectives_1, 576
total_damage_taken_1, 18921
average_vision_score_1, 3
total_wards_placed_1, 12
average_creep_score_1, 39
average_champion_experience_1, 3346
dmg_carry_1, 10
obj_carry_1, 10
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
