total_gold_earned_0, 71278
total_gold_spent_0, 66775
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 0
total_kills_0, 40
total_deaths_0, 44
total_damage_dealt_to_champions_0, 121023
total_damage_dealt_to_objectives_0, 74154
total_damage_taken_0, 185458
average_vision_score_0, 29
total_wards_placed_0, 64
average_creep_score_0, 146
average_champion_experience_0, 17327
dmg_carry_0, 518
obj_carry_0, 518
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Neeko
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Senna
total_gold_earned_1, 75452
total_gold_spent_1, 70125
total_baron_kills_1, 2
total_dragon_kills_1, 1
total_inhibitor_kils_1, 3
total_kills_1, 44
total_deaths_1, 40
total_damage_dealt_to_champions_1, 147176
total_damage_dealt_to_objectives_1, 87902
total_damage_taken_1, 155723
average_vision_score_1, 28
total_wards_placed_1, 75
average_creep_score_1, 141
average_champion_experience_1, 18316
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Sejuani
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Velkoz
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
