total_gold_earned_0, 44483
total_gold_spent_0, 40965
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 18
total_deaths_0, 18
total_damage_dealt_to_champions_0, 71148
total_damage_dealt_to_objectives_0, 14156
total_damage_taken_0, 101641
average_vision_score_0, 24
total_wards_placed_0, 64
average_creep_score_0, 108
average_champion_experience_0, 11060
dmg_carry_0, 84
obj_carry_0, 84
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Nasus
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 53648
total_gold_spent_1, 48150
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 18
total_deaths_1, 18
total_damage_dealt_to_champions_1, 77807
total_damage_dealt_to_objectives_1, 89199
total_damage_taken_1, 103705
average_vision_score_1, 28
total_wards_placed_1, 56
average_creep_score_1, 107
average_champion_experience_1, 12636
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Velkoz
team_comp_1_champ_4, Quinn
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
