total_gold_earned_0, 54082
total_gold_spent_0, 51775
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 41
total_damage_dealt_to_champions_0, 62908
total_damage_dealt_to_objectives_0, 16203
total_damage_taken_0, 107017
average_vision_score_0, 18
total_wards_placed_0, 41
average_creep_score_0, 118
average_champion_experience_0, 12628
dmg_carry_0, 161
obj_carry_0, 161
team_comp_0_champ_1, Yasuo
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Velkoz
total_gold_earned_1, 64482
total_gold_spent_1, 59300
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 3
total_kills_1, 41
total_deaths_1, 24
total_damage_dealt_to_champions_1, 83617
total_damage_dealt_to_objectives_1, 85788
total_damage_taken_1, 98952
average_vision_score_1, 26
total_wards_placed_1, 55
average_creep_score_1, 112
average_champion_experience_1, 14914
dmg_carry_1, 19
obj_carry_1, 19
team_comp_1_champ_1, Warwick
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Lucian
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
