total_gold_earned_0, 50244
total_gold_spent_0, 42750
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 20
total_deaths_0, 11
total_damage_dealt_to_champions_0, 74103
total_damage_dealt_to_objectives_0, 47947
total_damage_taken_0, 99601
average_vision_score_0, 29
total_wards_placed_0, 60
average_creep_score_0, 115
average_champion_experience_0, 11933
dmg_carry_0, 14
obj_carry_0, 14
team_comp_0_champ_1, Sion
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Taric
total_gold_earned_1, 42221
total_gold_spent_1, 39650
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 11
total_deaths_1, 20
total_damage_dealt_to_champions_1, 72391
total_damage_dealt_to_objectives_1, 29954
total_damage_taken_1, 93891
average_vision_score_1, 21
total_wards_placed_1, 55
average_creep_score_1, 102
average_champion_experience_1, 9989
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Qiyana
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
