total_gold_earned_0, 60878
total_gold_spent_0, 53090
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 40
total_deaths_0, 34
total_damage_dealt_to_champions_0, 116034
total_damage_dealt_to_objectives_0, 54026
total_damage_taken_0, 157597
average_vision_score_0, 23
total_wards_placed_0, 49
average_creep_score_0, 110
average_champion_experience_0, 15237
dmg_carry_0, 875
obj_carry_0, 875
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Malzahar
team_comp_0_champ_5, Shaco
total_gold_earned_1, 57433
total_gold_spent_1, 52085
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 33
total_deaths_1, 40
total_damage_dealt_to_champions_1, 121451
total_damage_dealt_to_objectives_1, 57263
total_damage_taken_1, 141774
average_vision_score_1, 20
total_wards_placed_1, 42
average_creep_score_1, 113
average_champion_experience_1, 13681
dmg_carry_1, 75
obj_carry_1, 75
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
