total_gold_earned_0, 69217
total_gold_spent_0, 61430
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 4
total_kills_0, 39
total_deaths_0, 29
total_damage_dealt_to_champions_0, 113525
total_damage_dealt_to_objectives_0, 84261
total_damage_taken_0, 142549
average_vision_score_0, 29
total_wards_placed_0, 63
average_creep_score_0, 135
average_champion_experience_0, 15817
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Irelia
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Senna
total_gold_earned_1, 57426
total_gold_spent_1, 54595
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 39
total_damage_dealt_to_champions_1, 97286
total_damage_dealt_to_objectives_1, 41787
total_damage_taken_1, 139246
average_vision_score_1, 25
total_wards_placed_1, 52
average_creep_score_1, 129
average_champion_experience_1, 14261
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Velkoz
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
