total_gold_earned_0, 60184
total_gold_spent_0, 56375
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 29
total_deaths_0, 30
total_damage_dealt_to_champions_0, 93737
total_damage_dealt_to_objectives_0, 27194
total_damage_taken_0, 160249
average_vision_score_0, 28
total_wards_placed_0, 107
average_creep_score_0, 127
average_champion_experience_0, 15280
dmg_carry_0, 141
obj_carry_0, 141
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Maokai
total_gold_earned_1, 68214
total_gold_spent_1, 58075
total_baron_kills_1, 2
total_dragon_kills_1, 5
total_inhibitor_kils_1, 4
total_kills_1, 30
total_deaths_1, 29
total_damage_dealt_to_champions_1, 130488
total_damage_dealt_to_objectives_1, 113404
total_damage_taken_1, 136487
average_vision_score_1, 36
total_wards_placed_1, 67
average_creep_score_1, 127
average_champion_experience_1, 17032
dmg_carry_1, 114
obj_carry_1, 114
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
