total_gold_earned_0, 48500
total_gold_spent_0, 45915
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 45
total_damage_dealt_to_champions_0, 85766
total_damage_dealt_to_objectives_0, 28436
total_damage_taken_0, 161640
average_vision_score_0, 16
total_wards_placed_0, 42
average_creep_score_0, 98
average_champion_experience_0, 12230
dmg_carry_0, 887
obj_carry_0, 887
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Nunu
team_comp_0_champ_3, Gwen
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Soraka
total_gold_earned_1, 63235
total_gold_spent_1, 55125
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 4
total_kills_1, 45
total_deaths_1, 26
total_damage_dealt_to_champions_1, 135179
total_damage_dealt_to_objectives_1, 63866
total_damage_taken_1, 114283
average_vision_score_1, 19
total_wards_placed_1, 44
average_creep_score_1, 105
average_champion_experience_1, 13892
dmg_carry_1, 145
obj_carry_1, 145
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Akshan
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Lux
gameLengthMin, 28
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
