total_gold_earned_0, 55608
total_gold_spent_0, 52655
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 29
total_deaths_0, 43
total_damage_dealt_to_champions_0, 82788
total_damage_dealt_to_objectives_0, 50199
total_damage_taken_0, 140692
average_vision_score_0, 17
total_wards_placed_0, 51
average_creep_score_0, 110
average_champion_experience_0, 13582
dmg_carry_0, 14
obj_carry_0, 14
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Sona
total_gold_earned_1, 65930
total_gold_spent_1, 57602
total_baron_kills_1, 2
total_dragon_kills_1, 2
total_inhibitor_kils_1, 3
total_kills_1, 42
total_deaths_1, 29
total_damage_dealt_to_champions_1, 112456
total_damage_dealt_to_objectives_1, 83336
total_damage_taken_1, 118604
average_vision_score_1, 21
total_wards_placed_1, 50
average_creep_score_1, 114
average_champion_experience_1, 16281
dmg_carry_1, 8
obj_carry_1, 8
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Vladimir
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
