total_gold_earned_0, 71505
total_gold_spent_0, 65750
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 37
total_deaths_0, 41
total_damage_dealt_to_champions_0, 104458
total_damage_dealt_to_objectives_0, 42392
total_damage_taken_0, 141440
average_vision_score_0, 26
total_wards_placed_0, 72
average_creep_score_0, 143
average_champion_experience_0, 17308
dmg_carry_0, 90
obj_carry_0, 90
team_comp_0_champ_1, Viego
team_comp_0_champ_2, Braum
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Amumu
total_gold_earned_1, 78000
total_gold_spent_1, 72850
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 41
total_deaths_1, 37
total_damage_dealt_to_champions_1, 112971
total_damage_dealt_to_objectives_1, 122181
total_damage_taken_1, 139117
average_vision_score_1, 39
total_wards_placed_1, 68
average_creep_score_1, 143
average_champion_experience_1, 17729
dmg_carry_1, 235
obj_carry_1, 235
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Senna
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
