total_gold_earned_0, 64214
total_gold_spent_0, 60845
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 39
total_deaths_0, 32
total_damage_dealt_to_champions_0, 129862
total_damage_dealt_to_objectives_0, 77917
total_damage_taken_0, 168716
average_vision_score_0, 28
total_wards_placed_0, 57
average_creep_score_0, 117
average_champion_experience_0, 14661
dmg_carry_0, 420
obj_carry_0, 420
team_comp_0_champ_1, Illaoi
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Sett
total_gold_earned_1, 56463
total_gold_spent_1, 53625
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 32
total_deaths_1, 39
total_damage_dealt_to_champions_1, 128387
total_damage_dealt_to_objectives_1, 33526
total_damage_taken_1, 153748
average_vision_score_1, 18
total_wards_placed_1, 36
average_creep_score_1, 116
average_champion_experience_1, 14689
dmg_carry_1, 90
obj_carry_1, 90
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Chogath
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Rell
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
