total_gold_earned_0, 50664
total_gold_spent_0, 46450
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 22
total_deaths_0, 34
total_damage_dealt_to_champions_0, 96390
total_damage_dealt_to_objectives_0, 33683
total_damage_taken_0, 113739
average_vision_score_0, 18
total_wards_placed_0, 48
average_creep_score_0, 105
average_champion_experience_0, 11745
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Vex
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Twitch
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Ashe
total_gold_earned_1, 61780
total_gold_spent_1, 52150
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 3
total_kills_1, 34
total_deaths_1, 22
total_damage_dealt_to_champions_1, 88595
total_damage_dealt_to_objectives_1, 79208
total_damage_taken_1, 128830
average_vision_score_1, 26
total_wards_placed_1, 58
average_creep_score_1, 107
average_champion_experience_1, 14678
dmg_carry_1, 145
obj_carry_1, 145
team_comp_1_champ_1, Urgot
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
