total_gold_earned_0, 53794
total_gold_spent_0, 53150
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 25
total_deaths_0, 32
total_damage_dealt_to_champions_0, 82795
total_damage_dealt_to_objectives_0, 19778
total_damage_taken_0, 125407
average_vision_score_0, 24
total_wards_placed_0, 54
average_creep_score_0, 130
average_champion_experience_0, 12792
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 66761
total_gold_spent_1, 60508
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 32
total_deaths_1, 25
total_damage_dealt_to_champions_1, 95060
total_damage_dealt_to_objectives_1, 87661
total_damage_taken_1, 106401
average_vision_score_1, 34
total_wards_placed_1, 71
average_creep_score_1, 131
average_champion_experience_1, 15239
dmg_carry_1, 2
obj_carry_1, 2
team_comp_1_champ_1, Olaf
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
