total_gold_earned_0, 38017
total_gold_spent_0, 35750
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 29
total_damage_dealt_to_champions_0, 55476
total_damage_dealt_to_objectives_0, 11636
total_damage_taken_0, 94686
average_vision_score_0, 9
total_wards_placed_0, 29
average_creep_score_0, 106
average_champion_experience_0, 9827
dmg_carry_0, 1
obj_carry_0, 1
team_comp_0_champ_1, Kled
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Annie
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 52177
total_gold_spent_1, 45100
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 29
total_deaths_1, 10
total_damage_dealt_to_champions_1, 68596
total_damage_dealt_to_objectives_1, 71762
total_damage_taken_1, 84834
average_vision_score_1, 20
total_wards_placed_1, 43
average_creep_score_1, 89
average_champion_experience_1, 11724
dmg_carry_1, 18
obj_carry_1, 18
team_comp_1_champ_1, Gnar
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Lissandra
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
