total_gold_earned_0, 73784
total_gold_spent_0, 74360
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 31
total_deaths_0, 50
total_damage_dealt_to_champions_0, 148894
total_damage_dealt_to_objectives_0, 60590
total_damage_taken_0, 264882
average_vision_score_0, 36
total_wards_placed_0, 80
average_creep_score_0, 162
average_champion_experience_0, 18856
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Janna
total_gold_earned_1, 84330
total_gold_spent_1, 76675
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 50
total_deaths_1, 31
total_damage_dealt_to_champions_1, 218614
total_damage_dealt_to_objectives_1, 99357
total_damage_taken_1, 188551
average_vision_score_1, 32
total_wards_placed_1, 70
average_creep_score_1, 165
average_champion_experience_1, 21904
dmg_carry_1, 30
obj_carry_1, 30
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Taliyah
team_comp_1_champ_4, Karthus
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
