total_gold_earned_0, 41538
total_gold_spent_0, 38660
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 21
total_deaths_0, 42
total_damage_dealt_to_champions_0, 62359
total_damage_dealt_to_objectives_0, 16442
total_damage_taken_0, 94723
average_vision_score_0, 19
total_wards_placed_0, 47
average_creep_score_0, 92
average_champion_experience_0, 9798
dmg_carry_0, 30
obj_carry_0, 30
team_comp_0_champ_1, Kayle
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Karthus
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 56395
total_gold_spent_1, 51425
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 21
total_damage_dealt_to_champions_1, 74613
total_damage_dealt_to_objectives_1, 70309
total_damage_taken_1, 92496
average_vision_score_1, 18
total_wards_placed_1, 40
average_creep_score_1, 96
average_champion_experience_1, 12347
dmg_carry_1, 887
obj_carry_1, 887
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, XinZhao
team_comp_1_champ_3, Neeko
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Ashe
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
