total_gold_earned_0, 16734
total_gold_spent_0, 12920
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 4
total_deaths_0, 3
total_damage_dealt_to_champions_0, 13406
total_damage_dealt_to_objectives_0, 1099
total_damage_taken_0, 17960
average_vision_score_0, 4
total_wards_placed_0, 14
average_creep_score_0, 44
average_champion_experience_0, 3979
dmg_carry_0, 147
obj_carry_0, 147
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Gangplank
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 17035
total_gold_spent_1, 10475
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 3
total_deaths_1, 4
total_damage_dealt_to_champions_1, 13142
total_damage_dealt_to_objectives_1, 585
total_damage_taken_1, 19827
average_vision_score_1, 4
total_wards_placed_1, 17
average_creep_score_1, 46
average_champion_experience_1, 4406
dmg_carry_1, 80
obj_carry_1, 80
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Pantheon
team_comp_1_champ_4, Brand
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
