total_gold_earned_0, 67817
total_gold_spent_0, 61985
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 50
total_deaths_0, 37
total_damage_dealt_to_champions_0, 124487
total_damage_dealt_to_objectives_0, 90750
total_damage_taken_0, 133162
average_vision_score_0, 29
total_wards_placed_0, 63
average_creep_score_0, 106
average_champion_experience_0, 15403
dmg_carry_0, 238
obj_carry_0, 238
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Morgana
total_gold_earned_1, 61532
total_gold_spent_1, 59850
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 37
total_deaths_1, 50
total_damage_dealt_to_champions_1, 102196
total_damage_dealt_to_objectives_1, 31826
total_damage_taken_1, 150888
average_vision_score_1, 29
total_wards_placed_1, 57
average_creep_score_1, 111
average_champion_experience_1, 13667
dmg_carry_1, 102
obj_carry_1, 102
team_comp_1_champ_1, Shyvana
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Twitch
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, MissFortune
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
