total_gold_earned_0, 23648
total_gold_spent_0, 17850
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 7
total_deaths_0, 8
total_damage_dealt_to_champions_0, 17217
total_damage_dealt_to_objectives_0, 16099
total_damage_taken_0, 33653
average_vision_score_0, 6
total_wards_placed_0, 18
average_creep_score_0, 56
average_champion_experience_0, 4996
dmg_carry_0, 23
obj_carry_0, 23
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Olaf
team_comp_0_champ_3, Gangplank
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Sona
total_gold_earned_1, 17508
total_gold_spent_1, 13510
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 8
total_deaths_1, 7
total_damage_dealt_to_champions_1, 20377
total_damage_dealt_to_objectives_1, 7181
total_damage_taken_1, 26171
average_vision_score_1, 7
total_wards_placed_1, 9
average_creep_score_1, 25
average_champion_experience_1, 3788
dmg_carry_1, 143
obj_carry_1, 143
team_comp_1_champ_1, Shen
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Nilah
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
