total_gold_earned_0, 24335
total_gold_spent_0, 20285
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 16
total_damage_dealt_to_champions_0, 25787
total_damage_dealt_to_objectives_0, 7324
total_damage_taken_0, 41088
average_vision_score_0, 9
total_wards_placed_0, 22
average_creep_score_0, 49
average_champion_experience_0, 5498
dmg_carry_0, 54
obj_carry_0, 54
team_comp_0_champ_1, Sett
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Malphite
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Morgana
total_gold_earned_1, 28435
total_gold_spent_1, 24158
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 10
total_damage_dealt_to_champions_1, 31217
total_damage_dealt_to_objectives_1, 32314
total_damage_taken_1, 37861
average_vision_score_1, 9
total_wards_placed_1, 23
average_creep_score_1, 58
average_champion_experience_1, 6098
dmg_carry_1, 36
obj_carry_1, 36
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
