total_gold_earned_0, 42352
total_gold_spent_0, 37245
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 9
total_deaths_0, 37
total_damage_dealt_to_champions_0, 46694
total_damage_dealt_to_objectives_0, 37293
total_damage_taken_0, 113151
average_vision_score_0, 15
total_wards_placed_0, 47
average_creep_score_0, 93
average_champion_experience_0, 9585
dmg_carry_0, 777
obj_carry_0, 777
team_comp_0_champ_1, Yone
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Kayle
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Nami
total_gold_earned_1, 51613
total_gold_spent_1, 47088
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 37
total_deaths_1, 12
total_damage_dealt_to_champions_1, 91448
total_damage_dealt_to_objectives_1, 46194
total_damage_taken_1, 74005
average_vision_score_1, 27
total_wards_placed_1, 54
average_creep_score_1, 97
average_champion_experience_1, 11788
dmg_carry_1, 711
obj_carry_1, 711
team_comp_1_champ_1, Shen
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
