total_gold_earned_0, 54484
total_gold_spent_0, 49155
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 22
total_deaths_0, 33
total_damage_dealt_to_champions_0, 73139
total_damage_dealt_to_objectives_0, 26919
total_damage_taken_0, 102976
average_vision_score_0, 20
total_wards_placed_0, 58
average_creep_score_0, 133
average_champion_experience_0, 13167
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Malzahar
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Irelia
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Sona
total_gold_earned_1, 63534
total_gold_spent_1, 58860
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 33
total_deaths_1, 22
total_damage_dealt_to_champions_1, 81582
total_damage_dealt_to_objectives_1, 80981
total_damage_taken_1, 110668
average_vision_score_1, 27
total_wards_placed_1, 50
average_creep_score_1, 119
average_champion_experience_1, 15056
dmg_carry_1, 106
obj_carry_1, 106
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, MonkeyKing
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Senna
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
