total_gold_earned_0, 67519
total_gold_spent_0, 63750
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 39
total_deaths_0, 49
total_damage_dealt_to_champions_0, 120978
total_damage_dealt_to_objectives_0, 53656
total_damage_taken_0, 214442
average_vision_score_0, 28
total_wards_placed_0, 66
average_creep_score_0, 145
average_champion_experience_0, 17369
dmg_carry_0, 38
obj_carry_0, 38
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, Kassadin
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Senna
total_gold_earned_1, 74995
total_gold_spent_1, 68000
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 49
total_deaths_1, 39
total_damage_dealt_to_champions_1, 187770
total_damage_dealt_to_objectives_1, 74895
total_damage_taken_1, 155044
average_vision_score_1, 34
total_wards_placed_1, 79
average_creep_score_1, 124
average_champion_experience_1, 17535
dmg_carry_1, 876
obj_carry_1, 876
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Taliyah
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
