total_gold_earned_0, 68535
total_gold_spent_0, 61433
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 4
total_kills_0, 40
total_deaths_0, 26
total_damage_dealt_to_champions_0, 111721
total_damage_dealt_to_objectives_0, 94528
total_damage_taken_0, 146319
average_vision_score_0, 35
total_wards_placed_0, 64
average_creep_score_0, 121
average_champion_experience_0, 16075
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Karma
total_gold_earned_1, 59459
total_gold_spent_1, 57070
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 40
total_damage_dealt_to_champions_1, 121322
total_damage_dealt_to_objectives_1, 32218
total_damage_taken_1, 139209
average_vision_score_1, 28
total_wards_placed_1, 66
average_creep_score_1, 137
average_champion_experience_1, 14153
dmg_carry_1, 115
obj_carry_1, 115
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Ziggs
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
