total_gold_earned_0, 77259
total_gold_spent_0, 73895
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 54
total_deaths_0, 62
total_damage_dealt_to_champions_0, 184239
total_damage_dealt_to_objectives_0, 70617
total_damage_taken_0, 242546
average_vision_score_0, 36
total_wards_placed_0, 57
average_creep_score_0, 136
average_champion_experience_0, 18045
dmg_carry_0, 875
obj_carry_0, 875
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Anivia
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Zyra
total_gold_earned_1, 89706
total_gold_spent_1, 79425
total_baron_kills_1, 2
total_dragon_kills_1, 5
total_inhibitor_kils_1, 2
total_kills_1, 62
total_deaths_1, 55
total_damage_dealt_to_champions_1, 210893
total_damage_dealt_to_objectives_1, 125079
total_damage_taken_1, 224193
average_vision_score_1, 30
total_wards_placed_1, 67
average_creep_score_1, 131
average_champion_experience_1, 22441
dmg_carry_1, 96
obj_carry_1, 96
team_comp_1_champ_1, Gragas
team_comp_1_champ_2, XinZhao
team_comp_1_champ_3, Velkoz
team_comp_1_champ_4, KogMaw
team_comp_1_champ_5, Shaco
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
