total_gold_earned_0, 52029
total_gold_spent_0, 43225
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 35
total_deaths_0, 7
total_damage_dealt_to_champions_0, 86172
total_damage_dealt_to_objectives_0, 98113
total_damage_taken_0, 73302
average_vision_score_0, 17
total_wards_placed_0, 38
average_creep_score_0, 99
average_champion_experience_0, 12434
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Gragas
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Anivia
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Lux
total_gold_earned_1, 41194
total_gold_spent_1, 39335
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 7
total_deaths_1, 35
total_damage_dealt_to_champions_1, 48917
total_damage_dealt_to_objectives_1, 28708
total_damage_taken_1, 112547
average_vision_score_1, 19
total_wards_placed_1, 40
average_creep_score_1, 104
average_champion_experience_1, 9403
dmg_carry_1, 104
obj_carry_1, 104
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Nasus
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
