total_gold_earned_0, 66854
total_gold_spent_0, 66445
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 51
total_damage_dealt_to_champions_0, 154020
total_damage_dealt_to_objectives_0, 52626
total_damage_taken_0, 196165
average_vision_score_0, 32
total_wards_placed_0, 69
average_creep_score_0, 136
average_champion_experience_0, 16418
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Soraka
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Tristana
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Ornn
total_gold_earned_1, 81679
total_gold_spent_1, 71950
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 51
total_deaths_1, 30
total_damage_dealt_to_champions_1, 171604
total_damage_dealt_to_objectives_1, 122334
total_damage_taken_1, 192815
average_vision_score_1, 37
total_wards_placed_1, 66
average_creep_score_1, 150
average_champion_experience_1, 19555
dmg_carry_1, 360
obj_carry_1, 360
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
