total_gold_earned_0, 62646
total_gold_spent_0, 54150
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 38
total_deaths_0, 30
total_damage_dealt_to_champions_0, 100026
total_damage_dealt_to_objectives_0, 80196
total_damage_taken_0, 112520
average_vision_score_0, 21
total_wards_placed_0, 50
average_creep_score_0, 122
average_champion_experience_0, 13916
dmg_carry_0, 85
obj_carry_0, 85
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Kennen
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Leona
total_gold_earned_1, 51415
total_gold_spent_1, 49790
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 30
total_deaths_1, 38
total_damage_dealt_to_champions_1, 77861
total_damage_dealt_to_objectives_1, 26275
total_damage_taken_1, 114438
average_vision_score_1, 22
total_wards_placed_1, 59
average_creep_score_1, 95
average_champion_experience_1, 11657
dmg_carry_1, 517
obj_carry_1, 517
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
