total_gold_earned_0, 63807
total_gold_spent_0, 60175
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 35
total_deaths_0, 30
total_damage_dealt_to_champions_0, 99562
total_damage_dealt_to_objectives_0, 82630
total_damage_taken_0, 117246
average_vision_score_0, 26
total_wards_placed_0, 49
average_creep_score_0, 113
average_champion_experience_0, 14219
dmg_carry_0, 55
obj_carry_0, 55
team_comp_0_champ_1, Skarner
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Sona
total_gold_earned_1, 55655
total_gold_spent_1, 51925
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 30
total_deaths_1, 35
total_damage_dealt_to_champions_1, 87980
total_damage_dealt_to_objectives_1, 24104
total_damage_taken_1, 121781
average_vision_score_1, 24
total_wards_placed_1, 53
average_creep_score_1, 118
average_champion_experience_1, 12240
dmg_carry_1, 8
obj_carry_1, 8
team_comp_1_champ_1, Vayne
team_comp_1_champ_2, Qiyana
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, Vladimir
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
