total_gold_earned_0, 71849
total_gold_spent_0, 67575
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 45
total_deaths_0, 44
total_damage_dealt_to_champions_0, 139108
total_damage_dealt_to_objectives_0, 75444
total_damage_taken_0, 197317
average_vision_score_0, 35
total_wards_placed_0, 75
average_creep_score_0, 127
average_champion_experience_0, 17738
dmg_carry_0, 90
obj_carry_0, 90
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Soraka
total_gold_earned_1, 76140
total_gold_spent_1, 69425
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 3
total_kills_1, 44
total_deaths_1, 45
total_damage_dealt_to_champions_1, 161365
total_damage_dealt_to_objectives_1, 62092
total_damage_taken_1, 171685
average_vision_score_1, 40
total_wards_placed_1, 70
average_creep_score_1, 136
average_champion_experience_1, 18682
dmg_carry_1, 92
obj_carry_1, 92
team_comp_1_champ_1, Riven
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
