total_gold_earned_0, 29669
total_gold_spent_0, 26920
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 8
total_deaths_0, 31
total_damage_dealt_to_champions_0, 30831
total_damage_dealt_to_objectives_0, 6833
total_damage_taken_0, 65073
average_vision_score_0, 19
total_wards_placed_0, 34
average_creep_score_0, 67
average_champion_experience_0, 6580
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, FiddleSticks
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Morgana
total_gold_earned_1, 44425
total_gold_spent_1, 38335
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 31
total_deaths_1, 8
total_damage_dealt_to_champions_1, 54152
total_damage_dealt_to_objectives_1, 47872
total_damage_taken_1, 49183
average_vision_score_1, 18
total_wards_placed_1, 40
average_creep_score_1, 86
average_champion_experience_1, 8587
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Warwick
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
