total_gold_earned_0, 69732
total_gold_spent_0, 59650
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 38
total_deaths_0, 46
total_damage_dealt_to_champions_0, 117627
total_damage_dealt_to_objectives_0, 34339
total_damage_taken_0, 172490
average_vision_score_0, 27
total_wards_placed_0, 64
average_creep_score_0, 123
average_champion_experience_0, 16261
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Trundle
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Poppy
total_gold_earned_1, 70827
total_gold_spent_1, 67475
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 46
total_deaths_1, 38
total_damage_dealt_to_champions_1, 136908
total_damage_dealt_to_objectives_1, 124002
total_damage_taken_1, 160298
average_vision_score_1, 30
total_wards_placed_1, 59
average_creep_score_1, 111
average_champion_experience_1, 16642
dmg_carry_1, 15
obj_carry_1, 15
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
