total_gold_earned_0, 82364
total_gold_spent_0, 77475
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 53
total_deaths_0, 41
total_damage_dealt_to_champions_0, 179815
total_damage_dealt_to_objectives_0, 129001
total_damage_taken_0, 173849
average_vision_score_0, 32
total_wards_placed_0, 76
average_creep_score_0, 142
average_champion_experience_0, 20753
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Zyra
total_gold_earned_1, 73248
total_gold_spent_1, 70025
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 41
total_deaths_1, 53
total_damage_dealt_to_champions_1, 135146
total_damage_dealt_to_objectives_1, 36567
total_damage_taken_1, 211771
average_vision_score_1, 15
total_wards_placed_1, 38
average_creep_score_1, 154
average_champion_experience_1, 18574
dmg_carry_1, 20
obj_carry_1, 20
team_comp_1_champ_1, Sion
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Taliyah
team_comp_1_champ_4, Nunu
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
