total_gold_earned_0, 77564
total_gold_spent_0, 73735
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 45
total_deaths_0, 59
total_damage_dealt_to_champions_0, 150436
total_damage_dealt_to_objectives_0, 50477
total_damage_taken_0, 193751
average_vision_score_0, 40
total_wards_placed_0, 73
average_creep_score_0, 147
average_champion_experience_0, 17935
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Brand
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Leona
total_gold_earned_1, 84394
total_gold_spent_1, 75400
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 58
total_deaths_1, 45
total_damage_dealt_to_champions_1, 158386
total_damage_dealt_to_objectives_1, 90160
total_damage_taken_1, 173937
average_vision_score_1, 35
total_wards_placed_1, 86
average_creep_score_1, 122
average_champion_experience_1, 20298
dmg_carry_1, 131
obj_carry_1, 131
team_comp_1_champ_1, Jax
team_comp_1_champ_2, JarvanIV
team_comp_1_champ_3, Diana
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
