total_gold_earned_0, 84744
total_gold_spent_0, 79030
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 58
total_deaths_0, 45
total_damage_dealt_to_champions_0, 180428
total_damage_dealt_to_objectives_0, 121841
total_damage_taken_0, 234551
average_vision_score_0, 44
total_wards_placed_0, 80
average_creep_score_0, 153
average_champion_experience_0, 21816
dmg_carry_0, 134
obj_carry_0, 134
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Syndra
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 76523
total_gold_spent_1, 70625
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 45
total_deaths_1, 59
total_damage_dealt_to_champions_1, 184985
total_damage_dealt_to_objectives_1, 45074
total_damage_taken_1, 209463
average_vision_score_1, 33
total_wards_placed_1, 67
average_creep_score_1, 144
average_champion_experience_1, 19110
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Evelynn
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
