total_gold_earned_0, 36346
total_gold_spent_0, 33935
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 16
total_deaths_0, 27
total_damage_dealt_to_champions_0, 54456
total_damage_dealt_to_objectives_0, 22516
total_damage_taken_0, 73051
average_vision_score_0, 20
total_wards_placed_0, 38
average_creep_score_0, 80
average_champion_experience_0, 8618
dmg_carry_0, 54
obj_carry_0, 54
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Janna
total_gold_earned_1, 46588
total_gold_spent_1, 38225
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 27
total_deaths_1, 16
total_damage_dealt_to_champions_1, 55825
total_damage_dealt_to_objectives_1, 43573
total_damage_taken_1, 78574
average_vision_score_1, 19
total_wards_placed_1, 46
average_creep_score_1, 94
average_champion_experience_1, 10354
dmg_carry_1, 55
obj_carry_1, 55
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
