total_gold_earned_0, 60772
total_gold_spent_0, 57680
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 32
total_deaths_0, 35
total_damage_dealt_to_champions_0, 110372
total_damage_dealt_to_objectives_0, 37444
total_damage_taken_0, 142856
average_vision_score_0, 23
total_wards_placed_0, 52
average_creep_score_0, 109
average_champion_experience_0, 14217
dmg_carry_0, 166
obj_carry_0, 166
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Akshan
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Zilean
total_gold_earned_1, 66367
total_gold_spent_1, 62933
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 35
total_deaths_1, 32
total_damage_dealt_to_champions_1, 114651
total_damage_dealt_to_objectives_1, 69414
total_damage_taken_1, 149982
average_vision_score_1, 27
total_wards_placed_1, 52
average_creep_score_1, 132
average_champion_experience_1, 14900
dmg_carry_1, 83
obj_carry_1, 83
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Vladimir
team_comp_1_champ_4, Yasuo
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
