total_gold_earned_0, 66158
total_gold_spent_0, 59275
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 48
total_deaths_0, 27
total_damage_dealt_to_champions_0, 94396
total_damage_dealt_to_objectives_0, 87253
total_damage_taken_0, 112466
average_vision_score_0, 25
total_wards_placed_0, 54
average_creep_score_0, 106
average_champion_experience_0, 15438
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Pantheon
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Brand
total_gold_earned_1, 56506
total_gold_spent_1, 56285
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 48
total_damage_dealt_to_champions_1, 81462
total_damage_dealt_to_objectives_1, 12473
total_damage_taken_1, 110260
average_vision_score_1, 26
total_wards_placed_1, 70
average_creep_score_1, 116
average_champion_experience_1, 12239
dmg_carry_1, 119
obj_carry_1, 119
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Taliyah
team_comp_1_champ_3, Graves
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
