total_gold_earned_0, 54612
total_gold_spent_0, 50087
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 34
total_deaths_0, 18
total_damage_dealt_to_champions_0, 109743
total_damage_dealt_to_objectives_0, 67062
total_damage_taken_0, 99887
average_vision_score_0, 23
total_wards_placed_0, 51
average_creep_score_0, 106
average_champion_experience_0, 12996
dmg_carry_0, 83
obj_carry_0, 83
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, XinZhao
team_comp_0_champ_3, Volibear
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Lulu
total_gold_earned_1, 42750
total_gold_spent_1, 38335
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 34
total_damage_dealt_to_champions_1, 69857
total_damage_dealt_to_objectives_1, 20878
total_damage_taken_1, 133192
average_vision_score_1, 19
total_wards_placed_1, 49
average_creep_score_1, 94
average_champion_experience_1, 10039
dmg_carry_1, 131
obj_carry_1, 131
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
