total_gold_earned_0, 37578
total_gold_spent_0, 35325
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 17
total_deaths_0, 42
total_damage_dealt_to_champions_0, 53200
total_damage_dealt_to_objectives_0, 12345
total_damage_taken_0, 100840
average_vision_score_0, 19
total_wards_placed_0, 49
average_creep_score_0, 84
average_champion_experience_0, 8978
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Neeko
total_gold_earned_1, 51752
total_gold_spent_1, 43305
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 18
total_damage_dealt_to_champions_1, 84025
total_damage_dealt_to_objectives_1, 49698
total_damage_taken_1, 70263
average_vision_score_1, 21
total_wards_placed_1, 45
average_creep_score_1, 81
average_champion_experience_1, 11382
dmg_carry_1, 63
obj_carry_1, 63
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Sion
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Brand
gameLengthMin, 23
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
