total_gold_earned_0, 55885
total_gold_spent_0, 52255
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 32
total_deaths_0, 45
total_damage_dealt_to_champions_0, 102332
total_damage_dealt_to_objectives_0, 42948
total_damage_taken_0, 127519
average_vision_score_0, 25
total_wards_placed_0, 51
average_creep_score_0, 107
average_champion_experience_0, 12115
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 65612
total_gold_spent_1, 56685
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 2
total_kills_1, 45
total_deaths_1, 32
total_damage_dealt_to_champions_1, 103553
total_damage_dealt_to_objectives_1, 51455
total_damage_taken_1, 129776
average_vision_score_1, 23
total_wards_placed_1, 52
average_creep_score_1, 110
average_champion_experience_1, 14233
dmg_carry_1, 106
obj_carry_1, 106
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Leblanc
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
