total_gold_earned_0, 57151
total_gold_spent_0, 56620
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 40
total_deaths_0, 41
total_damage_dealt_to_champions_0, 111036
total_damage_dealt_to_objectives_0, 56813
total_damage_taken_0, 136901
average_vision_score_0, 24
total_wards_placed_0, 57
average_creep_score_0, 109
average_champion_experience_0, 13057
dmg_carry_0, 103
obj_carry_0, 103
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Braum
total_gold_earned_1, 63369
total_gold_spent_1, 55964
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 41
total_deaths_1, 41
total_damage_dealt_to_champions_1, 108848
total_damage_dealt_to_objectives_1, 73376
total_damage_taken_1, 147236
average_vision_score_1, 22
total_wards_placed_1, 50
average_creep_score_1, 113
average_champion_experience_1, 15191
dmg_carry_1, 29
obj_carry_1, 29
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Twitch
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Soraka
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
