total_gold_earned_0, 55655
total_gold_spent_0, 52455
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 24
total_deaths_0, 31
total_damage_dealt_to_champions_0, 87725
total_damage_dealt_to_objectives_0, 41835
total_damage_taken_0, 144778
average_vision_score_0, 31
total_wards_placed_0, 73
average_creep_score_0, 129
average_champion_experience_0, 12321
dmg_carry_0, 55
obj_carry_0, 55
team_comp_0_champ_1, Gragas
team_comp_0_champ_2, Nunu
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Taric
total_gold_earned_1, 62623
total_gold_spent_1, 54975
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 31
total_deaths_1, 24
total_damage_dealt_to_champions_1, 114871
total_damage_dealt_to_objectives_1, 55393
total_damage_taken_1, 115868
average_vision_score_1, 39
total_wards_placed_1, 64
average_creep_score_1, 135
average_champion_experience_1, 14506
dmg_carry_1, 106
obj_carry_1, 106
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Ekko
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
