total_gold_earned_0, 67288
total_gold_spent_0, 58805
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 45
total_deaths_0, 27
total_damage_dealt_to_champions_0, 141287
total_damage_dealt_to_objectives_0, 69294
total_damage_taken_0, 132007
average_vision_score_0, 34
total_wards_placed_0, 68
average_creep_score_0, 122
average_champion_experience_0, 15324
dmg_carry_0, 101
obj_carry_0, 101
team_comp_0_champ_1, Jayce
team_comp_0_champ_2, Jax
team_comp_0_champ_3, Xerath
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Sona
total_gold_earned_1, 61864
total_gold_spent_1, 56585
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 45
total_damage_dealt_to_champions_1, 111294
total_damage_dealt_to_objectives_1, 51529
total_damage_taken_1, 160600
average_vision_score_1, 33
total_wards_placed_1, 65
average_creep_score_1, 121
average_champion_experience_1, 13679
dmg_carry_1, 63
obj_carry_1, 63
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Elise
team_comp_1_champ_3, Tristana
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
