total_gold_earned_0, 63613
total_gold_spent_0, 63778
total_baron_kills_0, 2
total_dragon_kills_0, 0
total_inhibitor_kils_0, 1
total_kills_0, 23
total_deaths_0, 39
total_damage_dealt_to_champions_0, 106387
total_damage_dealt_to_objectives_0, 69257
total_damage_taken_0, 153405
average_vision_score_0, 19
total_wards_placed_0, 54
average_creep_score_0, 134
average_champion_experience_0, 15321
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Zed
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, TahmKench
total_gold_earned_1, 71130
total_gold_spent_1, 64525
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 39
total_deaths_1, 23
total_damage_dealt_to_champions_1, 126853
total_damage_dealt_to_objectives_1, 80554
total_damage_taken_1, 137894
average_vision_score_1, 29
total_wards_placed_1, 64
average_creep_score_1, 144
average_champion_experience_1, 16954
dmg_carry_1, 119
obj_carry_1, 119
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Malphite
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Galio
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
