total_gold_earned_0, 90642
total_gold_spent_0, 85950
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 52
total_deaths_0, 45
total_damage_dealt_to_champions_0, 187027
total_damage_dealt_to_objectives_0, 93065
total_damage_taken_0, 248052
average_vision_score_0, 55
total_wards_placed_0, 137
average_creep_score_0, 161
average_champion_experience_0, 21925
dmg_carry_0, 61
obj_carry_0, 61
team_comp_0_champ_1, Vladimir
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, Orianna
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Nami
total_gold_earned_1, 93417
total_gold_spent_1, 97925
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 45
total_deaths_1, 53
total_damage_dealt_to_champions_1, 214871
total_damage_dealt_to_objectives_1, 110054
total_damage_taken_1, 220732
average_vision_score_1, 43
total_wards_placed_1, 96
average_creep_score_1, 176
average_champion_experience_1, 22507
dmg_carry_1, 10
obj_carry_1, 10
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Azir
team_comp_1_champ_4, Varus
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
