total_gold_earned_0, 67292
total_gold_spent_0, 58280
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 40
total_deaths_0, 28
total_damage_dealt_to_champions_0, 100897
total_damage_dealt_to_objectives_0, 95475
total_damage_taken_0, 139490
average_vision_score_0, 39
total_wards_placed_0, 73
average_creep_score_0, 127
average_champion_experience_0, 17198
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Kayle
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Morgana
total_gold_earned_1, 57189
total_gold_spent_1, 56680
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 41
total_damage_dealt_to_champions_1, 97206
total_damage_dealt_to_objectives_1, 27722
total_damage_taken_1, 124447
average_vision_score_1, 24
total_wards_placed_1, 49
average_creep_score_1, 127
average_champion_experience_1, 14604
dmg_carry_1, 134
obj_carry_1, 134
team_comp_1_champ_1, Shen
team_comp_1_champ_2, Jax
team_comp_1_champ_3, Syndra
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
