total_gold_earned_0, 93465
total_gold_spent_0, 90700
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 4
total_kills_0, 57
total_deaths_0, 61
total_damage_dealt_to_champions_0, 242137
total_damage_dealt_to_objectives_0, 140560
total_damage_taken_0, 279798
average_vision_score_0, 36
total_wards_placed_0, 75
average_creep_score_0, 159
average_champion_experience_0, 23660
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Zed
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Velkoz
total_gold_earned_1, 98832
total_gold_spent_1, 88533
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 61
total_deaths_1, 57
total_damage_dealt_to_champions_1, 241951
total_damage_dealt_to_objectives_1, 118602
total_damage_taken_1, 290402
average_vision_score_1, 40
total_wards_placed_1, 77
average_creep_score_1, 178
average_champion_experience_1, 26234
dmg_carry_1, 876
obj_carry_1, 876
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Kayle
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
