total_gold_earned_0, 54243
total_gold_spent_0, 51775
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 25
total_deaths_0, 39
total_damage_dealt_to_champions_0, 81281
total_damage_dealt_to_objectives_0, 44100
total_damage_taken_0, 136187
average_vision_score_0, 23
total_wards_placed_0, 51
average_creep_score_0, 111
average_champion_experience_0, 12876
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Akali
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Sylas
total_gold_earned_1, 60320
total_gold_spent_1, 55295
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 39
total_deaths_1, 25
total_damage_dealt_to_champions_1, 105463
total_damage_dealt_to_objectives_1, 58094
total_damage_taken_1, 107656
average_vision_score_1, 32
total_wards_placed_1, 46
average_creep_score_1, 127
average_champion_experience_1, 14462
dmg_carry_1, 9
obj_carry_1, 9
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Gragas
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Karthus
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
