total_gold_earned_0, 60605
total_gold_spent_0, 57175
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 54
total_damage_dealt_to_champions_0, 110565
total_damage_dealt_to_objectives_0, 20943
total_damage_taken_0, 146844
average_vision_score_0, 25
total_wards_placed_0, 55
average_creep_score_0, 130
average_champion_experience_0, 14413
dmg_carry_0, 36
obj_carry_0, 36
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Teemo
team_comp_0_champ_3, Azir
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Xerath
total_gold_earned_1, 72250
total_gold_spent_1, 64275
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 54
total_deaths_1, 30
total_damage_dealt_to_champions_1, 121846
total_damage_dealt_to_objectives_1, 107481
total_damage_taken_1, 148206
average_vision_score_1, 29
total_wards_placed_1, 50
average_creep_score_1, 131
average_champion_experience_1, 17150
dmg_carry_1, 105
obj_carry_1, 105
team_comp_1_champ_1, Sion
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
