total_gold_earned_0, 50236
total_gold_spent_0, 48175
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 42
total_damage_dealt_to_champions_0, 63565
total_damage_dealt_to_objectives_0, 19278
total_damage_taken_0, 127833
average_vision_score_0, 15
total_wards_placed_0, 45
average_creep_score_0, 100
average_champion_experience_0, 10682
dmg_carry_0, 103
obj_carry_0, 103
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Trundle
total_gold_earned_1, 58555
total_gold_spent_1, 52143
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 23
total_damage_dealt_to_champions_1, 109792
total_damage_dealt_to_objectives_1, 86448
total_damage_taken_1, 87196
average_vision_score_1, 25
total_wards_placed_1, 60
average_creep_score_1, 92
average_champion_experience_1, 12365
dmg_carry_1, 21
obj_carry_1, 21
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
