total_gold_earned_0, 22010
total_gold_spent_0, 16950
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 2
total_deaths_0, 15
total_damage_dealt_to_champions_0, 25117
total_damage_dealt_to_objectives_0, 842
total_damage_taken_0, 39515
average_vision_score_0, 5
total_wards_placed_0, 14
average_creep_score_0, 52
average_champion_experience_0, 6563
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Graves
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 38190
total_gold_spent_1, 36800
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 14
total_deaths_1, 2
total_damage_dealt_to_champions_1, 28063
total_damage_dealt_to_objectives_1, 59506
total_damage_taken_1, 56360
average_vision_score_1, 13
total_wards_placed_1, 23
average_creep_score_1, 75
average_champion_experience_1, 8436
dmg_carry_1, 18
obj_carry_1, 18
team_comp_1_champ_1, Illaoi
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
