total_gold_earned_0, 58007
total_gold_spent_0, 51150
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 35
total_deaths_0, 22
total_damage_dealt_to_champions_0, 108936
total_damage_dealt_to_objectives_0, 52075
total_damage_taken_0, 86674
average_vision_score_0, 28
total_wards_placed_0, 61
average_creep_score_0, 112
average_champion_experience_0, 13695
dmg_carry_0, 55
obj_carry_0, 55
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Karma
total_gold_earned_1, 48966
total_gold_spent_1, 46250
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 22
total_deaths_1, 35
total_damage_dealt_to_champions_1, 60973
total_damage_dealt_to_objectives_1, 31823
total_damage_taken_1, 127456
average_vision_score_1, 25
total_wards_placed_1, 54
average_creep_score_1, 118
average_champion_experience_1, 11718
dmg_carry_1, 76
obj_carry_1, 76
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Nidalee
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Thresh
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
