total_gold_earned_0, 40463
total_gold_spent_0, 36075
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 14
total_damage_dealt_to_champions_0, 49363
total_damage_dealt_to_objectives_0, 53900
total_damage_taken_0, 56597
average_vision_score_0, 16
total_wards_placed_0, 34
average_creep_score_0, 71
average_champion_experience_0, 7749
dmg_carry_0, 7
obj_carry_0, 7
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Leblanc
team_comp_0_champ_4, Kalista
team_comp_0_champ_5, Leona
total_gold_earned_1, 31415
total_gold_spent_1, 29008
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 14
total_deaths_1, 26
total_damage_dealt_to_champions_1, 36701
total_damage_dealt_to_objectives_1, 18202
total_damage_taken_1, 60107
average_vision_score_1, 10
total_wards_placed_1, 29
average_creep_score_1, 62
average_champion_experience_1, 6184
dmg_carry_1, 150
obj_carry_1, 150
team_comp_1_champ_1, Gnar
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
