total_gold_earned_0, 55002
total_gold_spent_0, 49700
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 36
total_deaths_0, 19
total_damage_dealt_to_champions_0, 74578
total_damage_dealt_to_objectives_0, 51386
total_damage_taken_0, 85501
average_vision_score_0, 18
total_wards_placed_0, 43
average_creep_score_0, 96
average_champion_experience_0, 12303
dmg_carry_0, 69
obj_carry_0, 69
team_comp_0_champ_1, Graves
team_comp_0_champ_2, Cassiopeia
team_comp_0_champ_3, Heimerdinger
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 44683
total_gold_spent_1, 40125
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 19
total_deaths_1, 36
total_damage_dealt_to_champions_1, 59421
total_damage_dealt_to_objectives_1, 33631
total_damage_taken_1, 95541
average_vision_score_1, 15
total_wards_placed_1, 40
average_creep_score_1, 90
average_champion_experience_1, 9980
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Gragas
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Zed
team_comp_1_champ_5, Ziggs
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
